"date","montees"
2016-01-01,16670373.26
2016-02-01,17190533.85
2016-03-01,18263805.36
2016-04-01,18481088.06
2016-05-01,18004478.95
2016-06-01,18238242.3
2016-07-01,14542400.42
2016-08-01,14690058.72
2016-09-01,17715232.63
2016-10-01,18067412.97
2016-11-01,19305624.81
2016-12-01,17817843.34
2017-01-01,17270112.58
2017-02-01,16889307.91
2017-03-01,20500998.99
2017-04-01,16534906.85
2017-05-01,19162824.31
2017-06-01,18314679.26
2017-07-01,14564245.41
2017-08-01,15112199.8
2017-09-01,17710168.33
2017-10-01,18481432.07
2017-11-01,19759094.3
2017-12-01,17796528.88
2018-01-01,17857633.81
2018-02-01,16942247.15
2018-03-01,19580109.74
2018-04-01,17787047.97
2018-05-01,18905374.24
2018-06-01,18996278.68
2018-07-01,15411530.63
2018-08-01,15299550.78
2018-09-01,17337022.16
2018-10-01,19234173.77
2018-11-01,20039010.71
2018-12-01,17615994.42
2019-01-01,18525746.86
2019-02-01,17301747.02
2019-03-01,20080757.34
2019-04-01,17788687.59
2019-05-01,20018273.02
2019-06-01,18456383.58
2019-07-01,16407554.84
2019-08-01,15884682.03
2019-09-01,18446668.3
2019-10-01,20150224.03
2019-11-01,20570179.12
2019-12-01,18472587.56
2020-01-01,19047703.52
2020-02-01,18233362.69
2020-03-01,10737035.95
2020-04-01,3480204.21
2020-05-01,7845416.51
2020-06-01,12196240
2020-07-01,12085955.07
2020-08-01,11824738.01
2020-09-01,14595829.82
2020-10-01,14693744.78
2020-11-01,10729411.44
2020-12-01,12324834
2021-01-01,11058568.52
2021-02-01,10542873.41
2021-03-01,13824186.18
2021-04-01,12349262.98
2021-05-01,13531295.74
2021-06-01,14331695.02
2021-07-01,12316603.77
2021-08-01,12074558.94
2021-09-01,15106647.7
2021-10-01,15711719.02
2021-11-01,16632576.56
2021-12-01,15193898.22
2022-01-01,13382954.13
2022-02-01,14139121.42
2022-03-01,17751344.46
2022-04-01,15506331.99
2022-05-01,17871355.51
2022-06-01,17593922.87
2022-07-01,14309483.72
2022-08-01,15194553.55
2022-09-01,17621346.58
2022-10-01,16955714.57
2022-11-01,18848236.58
2022-12-01,17871283.88
2023-01-01,17156605.08
2023-02-01,16637070.68
2023-03-01,20323554.66
2023-04-01,16156798.84
2023-05-01,19147564.61
2023-06-01,19406813.38
2023-07-01,15081402.68
2023-08-01,16076212.59
2023-09-01,18384747.87
2023-10-01,19224858.52
2023-11-01,20379661.21
2023-12-01,18507210.62
2024-01-01,18174003.63
2024-02-01,18112859.45
2024-03-01,19537203.47
2024-04-01,17803944.88
2024-05-01,19666274.07
2024-06-01,19011883.32
2024-07-01,15972895.42
2024-08-01,16634666.83
2024-09-01,18564209.9
2024-10-01,20134883.37
2024-11-01,20187506.87
2024-12-01,18189700.14
2025-01-01,18975665.04
2025-02-01,17981666.98
2025-03-01,20560833.05
2025-04-01,18330119.73
2025-05-01,20435204.98
2025-06-01,19472048.65
2025-07-01,16482704.72
2025-08-01,17077713.76
2025-09-01,19856843.81
2025-10-01,20581150.4
2025-11-01,20308133.45
2025-12-01,18681305.78
2026-01-01,19480789.85
2026-02-01,18265656.01
2026-03-01,21200578.9
2026-04-01,18399016.39
2026-05-01,19991950.76
2026-06-01,19291802.67
