"annee","ligne_type_act","montees","ref","pct_vs_2019"
2016,"GLCT",7109576.15,9727149.67,73.1
2016,"PRINCIPAL",183125797.08,190850942.21,96
2016,"SCOLAIRE",658621.28,576468.12,114.3
2016,"SECONDAIRE",17986998.28,20859499.25,86.2
2017,"GLCT",8570708.92,9727149.67,88.1
2017,"PRINCIPAL",184045716.12,190850942.21,96.4
2017,"SCOLAIRE",608686.25,576468.12,105.6
2017,"SECONDAIRE",18765130.5,20859499.25,90
2018,"GLCT",9192791.88,9727149.67,94.5
2018,"PRINCIPAL",184250973.64,190850942.21,96.5
2018,"SCOLAIRE",589563.91,576468.12,102.3
2018,"SECONDAIRE",20874496.4,20859499.25,100.1
2019,"GLCT",9727149.67,9727149.67,100
2019,"PRINCIPAL",190850942.21,190850942.21,100
2019,"SCOLAIRE",576468.12,576468.12,100
2019,"SECONDAIRE",20859499.25,20859499.25,100
2020,"GLCT",6457843.27,9727149.67,66.4
2020,"PRINCIPAL",126974277.58,190850942.21,66.5
2020,"SCOLAIRE",450570.55,576468.12,78.2
2020,"SECONDAIRE",13884102.42,20859499.25,66.6
2021,"GLCT",7449192.31,9727149.67,76.6
2021,"PRINCIPAL",138889062.04,190850942.21,72.8
2021,"SCOLAIRE",557801.11,576468.12,96.8
2021,"SECONDAIRE",15761933.58,20859499.25,75.6
2022,"GLCT",10049680.25,9727149.67,103.3
2022,"PRINCIPAL",167750986.96,190850942.21,87.9
2022,"SCOLAIRE",344355.59,576468.12,59.7
2022,"SECONDAIRE",18848721.96,20859499.25,90.4
2023,"GLCT",10943460.92,9727149.67,112.5
2023,"PRINCIPAL",184477987.06,190850942.21,96.7
2023,"SCOLAIRE",353406.99,576468.12,61.3
2023,"SECONDAIRE",20647184.74,20859499.25,99
2024,"GLCT",11258600.28,9727149.67,115.7
2024,"PRINCIPAL",189277928.44,190850942.21,99.2
2024,"SCOLAIRE",425879.18,576468.12,73.9
2024,"SECONDAIRE",21027623.45,20859499.25,100.8
2025,"GLCT",11549160.44,9727149.67,118.7
2025,"PRINCIPAL",193348766.96,190850942.21,101.3
2025,"SCOLAIRE",418108.3,576468.12,72.5
2025,"SECONDAIRE",23427354.65,20859499.25,112.3
