"paire","Z","p_brut","p_bonf","signif"
"Lundi vs Mardi",-5.21,1.88524864272816e-07,1.88524864272816e-06,TRUE
"Lundi vs Mercredi",-4.132,3.60269229623674e-05,0.000360269229623674,TRUE
"Lundi vs Jeudi",-7.349,1.99711355517749e-13,1.99711355517749e-12,TRUE
"Lundi vs Vendredi",-6.335,2.36694577654625e-10,2.36694577654625e-09,TRUE
"Mardi vs Mercredi",1.086,0.277406310174657,1,FALSE
"Mardi vs Jeudi",-2.244,0.024840345118039,0.24840345118039,FALSE
"Mardi vs Vendredi",-1.196,0.231883136760272,1,FALSE
"Mercredi vs Jeudi",-3.311,0.000929797012412238,0.00929797012412238,TRUE
"Mercredi vs Vendredi",-2.268,0.0232989093624561,0.232989093624561,FALSE
"Jeudi vs Vendredi",1.043,0.297152625257457,1,FALSE
