"jour","heure","p_value","med_cible","med_autres","diff_pct","epsilon2","p_bonf","p_bh","sig_bf","sig_bh"
"Mercredi",5,0.021790887701133,6264,6429,-2.6,0.003,0.414026866321526,0.0345022388601272,FALSE,TRUE
"Mercredi",6,0.00789914149233583,17633,17825,-1.1,0.004,0.150083688354381,0.0150292468933711,FALSE,TRUE
"Mercredi",7,0.00053554243073864,53836,55454,-2.9,0.008,0.0101753061840342,0.00127191327300427,TRUE,TRUE
"Mercredi",8,1.67153219536937e-10,58457,60872,-4,0.028,3.1759111712018e-09,6.35182234240359e-10,TRUE,TRUE
"Mercredi",9,0.551723948169255,38734,38233,1.3,0,1,0.582375278623103,FALSE,FALSE
"Mercredi",10,0.00791012994387955,32496,31695,2.5,0.004,0.150292468933711,0.0150292468933711,FALSE,TRUE
"Mercredi",11,3.10186145459346e-17,43708,40218,8.7,0.049,5.89353676372757e-16,1.47338419093189e-16,TRUE,TRUE
"Mercredi",12,3.99943681807802e-44,53476,46419,15.2,0.134,7.59892995434823e-43,3.79946497717412e-43,TRUE,TRUE
"Mercredi",13,0.66877582458056,48284,48107,0.4,-0.001,1,0.66877582458056,FALSE,FALSE
"Mercredi",14,1.31646213344709e-50,46094,39239,17.5,0.155,2.50127805354947e-49,2.50127805354947e-49,TRUE,TRUE
"Mercredi",15,3.68225623694626e-05,49602,47902,3.5,0.011,0.00069962868501979,9.99469550028271e-05,TRUE,TRUE
"Mercredi",16,2.46659660033601e-39,61102,69199,-11.7,0.119,4.68653354063842e-38,1.56217784687947e-38,TRUE,TRUE
"Mercredi",17,1.89414441517618e-09,71705,74449,-3.7,0.024,3.59887438883474e-08,5.99812398139124e-09,TRUE,TRUE
"Mercredi",18,0.0687722924345292,58223,56971,2.2,0.002,1,0.0933338254468611,FALSE,FALSE
"Mercredi",19,0.365695594402098,36154,36008,0.4,0,1,0.408718605508227,FALSE,FALSE
"Mercredi",20,0.0135077682604669,21265,21292,-0.1,0.004,0.256647596948871,0.0233315997226246,FALSE,TRUE
"Mercredi",21,0.292982018926587,14479,14304,1.2,0,1,0.347916147475322,FALSE,FALSE
"Mercredi",22,0.0781848012350434,11094,10939,1.4,0.001,1,0.0990340815643883,FALSE,FALSE
"Mercredi",23,0.0440770240292508,6538,6610,-1.1,0.002,0.837463456555765,0.064420265888905,FALSE,FALSE
