"heure","n_semaines","p_value","diff_HL","diff_pct","p_bonf","sig_bf"
5,297,3.31184592521388e-26,-127,-2.1,6.29250725790637e-25,TRUE
6,297,7.37090503684895e-27,-345,-2,1.4004719570013e-25,TRUE
7,297,3.69344654942254e-44,-2362,-4.2,7.01754844390283e-43,TRUE
8,297,1.27509998666296e-46,-3775,-5.9,2.42268997465962e-45,TRUE
9,297,0.00450043521348122,157,0.5,0.0855082690561432,FALSE
10,297,2.53565623237065e-23,558,1.8,4.81774684150424e-22,TRUE
11,297,3.80304303284927e-45,3357,8.3,7.22578176241362e-44,TRUE
12,297,3.26835808054759e-46,6917,15.4,6.20988035304043e-45,TRUE
13,297,0.00533479428388523,-205,-0.4,0.101361091393819,FALSE
14,297,6.44752543131401e-47,6282,16.3,1.22502983194966e-45,TRUE
15,297,7.00945324619841e-25,1576,3.4,1.3317961167777e-23,TRUE
16,297,2.67020635886265e-50,-8001,-11.6,5.07339208183904e-49,TRUE
17,297,4.81033847396593e-47,-4409,-6.1,9.13964310053527e-46,TRUE
18,297,8.32619920774715e-10,616,1,1.58197784947196e-08,TRUE
19,297,8.01779137780154e-05,-351,-1.2,0.00152338036178229,TRUE
20,297,3.95656576255773e-19,-717,-3.4,7.51747494885969e-18,TRUE
21,297,5.85269259129092e-13,-416,-3,1.11201159234528e-11,TRUE
22,297,4.816492077318e-12,-365,-3.2,9.15133494690419e-11,TRUE
23,297,1.09532897633668e-10,-283,-4,2.08112505503969e-09,TRUE
