"jour","heure","p_value","med_cible","med_autres","diff_pct","epsilon2","p_bonf","p_bh","sig_bf","sig_bh"
"Lundi",5,0.302641329055214,6412,6391,0.3,0,1,0.350621051954211,FALSE,FALSE
"Lundi",6,0.0300653997228253,18111,17702,2.3,0.003,1,0.0413943909227305,FALSE,TRUE
"Lundi",7,0.290588458717722,56167,54686,2.7,0,1,0.34362088639538,FALSE,FALSE
"Lundi",8,0.603964537355476,61795,59859,3.2,-0.001,1,0.637518122764114,FALSE,FALSE
"Lundi",9,2.13565294632736e-05,37510,38646,-2.9,0.012,0.00202887029901099,4.31674531704466e-05,TRUE,TRUE
"Lundi",10,1.94398309303675e-08,30791,32145,-4.2,0.021,1.84678393838492e-06,5.12995538440254e-08,TRUE,TRUE
"Lundi",11,1.53750681594763e-12,38750,41198,-5.9,0.034,1.46063147515025e-10,6.08596447979271e-12,TRUE,TRUE
"Lundi",12,1.42197737785273e-15,44906,48120,-6.7,0.044,1.35087850896009e-13,6.75439254480046e-15,TRUE,TRUE
"Lundi",13,6.25818324878933e-05,47202,48430,-2.5,0.01,0.00594527408634986,0.000118905481726997,TRUE,TRUE
"Lundi",14,1.25187656650123e-23,37940,40774,-7,0.069,1.18928273817617e-21,9.91068948480138e-23,TRUE,TRUE
"Lundi",15,1.05092485149745e-18,46044,48964,-6,0.053,9.9837860892258e-17,7.13127577801843e-18,TRUE,TRUE
"Lundi",16,0.536680813084526,68191,66341,2.8,0,1,0.586030772908391,FALSE,FALSE
"Lundi",17,0.025197086168973,75903,72963,4,0.003,1,0.0352018115595947,FALSE,TRUE
"Lundi",18,1.44003658588689e-05,55879,57507,-2.8,0.012,0.00136803475659255,2.97398860128814e-05,TRUE,TRUE
"Lundi",19,1.58587009811349e-24,33682,36918,-8.8,0.072,1.50657659320781e-22,1.36961508473438e-23,TRUE,TRUE
"Lundi",20,1.43278449804844e-30,19461,22013,-11.6,0.091,1.36114527314602e-28,1.51238363682891e-29,TRUE,TRUE
"Lundi",21,2.18537322852135e-39,12513,15103,-17.1,0.119,2.07610456709528e-37,2.92908346289901e-38,TRUE,TRUE
"Lundi",22,3.05707190049509e-52,8915,11607,-23.2,0.16,2.90421830547033e-50,7.26054576367583e-51,TRUE,TRUE
"Lundi",23,6.24815409549344e-65,4948,7190,-31.2,0.2,5.93574639071877e-63,2.96787319535939e-63,TRUE,TRUE
"Mardi",5,0.977063109160974,6447,6390,0.9,-0.001,1,0.977063109160974,FALSE,FALSE
"Mardi",6,3.41469289223218e-10,18511,17664,4.8,0.027,3.24395824762057e-08,1.04643814439373e-09,TRUE,TRUE
"Mardi",7,3.77999881178951e-08,58429,54456,7.3,0.02,3.59099887120003e-06,9.70540235459468e-08,TRUE,TRUE
"Mardi",8,1.72025432963776e-14,65543,59434,10.3,0.04,1.63424161315587e-12,7.42837096889031e-14,TRUE,TRUE
"Mardi",9,0.00830728134729516,39230,38199,2.7,0.004,0.78919172799304,0.0129375693113613,FALSE,TRUE
"Mardi",10,0.894337685601969,31798,31760,0.1,-0.001,1,0.913570754109538,FALSE,FALSE
"Mardi",11,0.000569794381111038,39984,40994,-2.5,0.008,0.0541304662055486,0.000966615467956226,FALSE,TRUE
"Mardi",12,1.06539344524147e-07,45875,47824,-4.1,0.019,1.0121237729794e-05,2.46859456824244e-07,TRUE,TRUE
"Mardi",13,0.565065218695963,48106,48133,-0.1,0,1,0.603159503102432,FALSE,FALSE
"Mardi",14,9.78506190660608e-08,39046,40300,-3.1,0.019,9.29580881127577e-06,2.36447591884552e-07,TRUE,TRUE
"Mardi",15,0.114630852710562,48142,48277,-0.3,0.001,1,0.141427675422122,FALSE,FALSE
"Mardi",16,3.19970521085502e-07,70178,65846,6.6,0.017,3.03971995031227e-05,7.23742845312445e-07,TRUE,TRUE
"Mardi",17,7.11476605335011e-10,77890,72542,7.4,0.026,6.75902775068261e-08,2.11219617208832e-09,TRUE,TRUE
"Mardi",18,0.000107867099310705,58690,56875,3.2,0.01,0.010247374434517,0.000197064892971481,TRUE,TRUE
"Mardi",19,0.385564527662211,36137,36026,0.3,0,1,0.430925060328354,FALSE,FALSE
"Mardi",20,5.36659759636043e-05,20936,21434,-2.3,0.011,0.00509826771654241,0.000104046279929437,TRUE,TRUE
"Mardi",21,8.78653263241636e-05,14156,14438,-2,0.01,0.00834720600079554,0.000163670705897952,TRUE,TRUE
"Mardi",22,2.10746795823262e-06,10640,11199,-5,0.015,0.000200209456032099,4.55021490982043e-06,TRUE,TRUE
"Mardi",23,7.52615957752714e-12,6091,6998,-13,0.032,7.14985159865078e-10,2.74994292255799e-11,TRUE,TRUE
"Mercredi",5,0.021790887701133,6264,6429,-2.6,0.003,1,0.0313656716910247,FALSE,TRUE
"Mercredi",6,0.00789914149233583,17633,17825,-1.1,0.004,0.750418441771904,0.0125243724111426,FALSE,TRUE
"Mercredi",7,0.00053554243073864,53836,55454,-2.9,0.008,0.0508765309201708,0.000925027834912197,FALSE,TRUE
"Mercredi",8,1.67153219536937e-10,58457,60872,-4,0.028,1.5879555856009e-08,5.29318528533633e-10,TRUE,TRUE
"Mercredi",9,0.551723948169255,38734,38233,1.3,0,1,0.595611080409991,FALSE,FALSE
"Mercredi",10,0.00791012994387955,32496,31695,2.5,0.004,0.751462344668557,0.0125243724111426,FALSE,TRUE
"Mercredi",11,3.10186145459346e-17,43708,40218,8.7,0.049,2.94676838186379e-15,1.96451225457586e-16,TRUE,TRUE
"Mercredi",12,3.99943681807802e-44,53476,46419,15.2,0.134,3.79946497717412e-42,6.33244162862353e-43,TRUE,TRUE
"Mercredi",13,0.66877582458056,48284,48107,0.4,-0.001,1,0.698172564122563,FALSE,FALSE
"Mercredi",14,1.31646213344709e-50,46094,39239,17.5,0.155,1.25063902677473e-48,2.50127805354947e-49,TRUE,TRUE
"Mercredi",15,3.68225623694626e-05,49602,47902,3.5,0.011,0.00349814342509895,7.28779880228948e-05,TRUE,TRUE
"Mercredi",16,2.46659660033601e-39,61102,69199,-11.7,0.119,2.34326677031921e-37,2.92908346289901e-38,TRUE,TRUE
"Mercredi",17,1.89414441517618e-09,71705,74449,-3.7,0.024,1.79943719441737e-07,5.45283998308295e-09,TRUE,TRUE
"Mercredi",18,0.0687722924345292,58223,56971,2.2,0.002,1,0.0882887538010848,FALSE,FALSE
"Mercredi",19,0.365695594402098,36154,36008,0.4,0,1,0.413584303192849,FALSE,FALSE
"Mercredi",20,0.0135077682604669,21265,21292,-0.1,0.004,1,0.0200505935116305,FALSE,TRUE
"Mercredi",21,0.292982018926587,14479,14304,1.2,0,1,0.34362088639538,FALSE,FALSE
"Mercredi",22,0.0781848012350434,11094,10939,1.4,0.001,1,0.0977310015438042,FALSE,FALSE
"Mercredi",23,0.0440770240292508,6538,6610,-1.1,0.002,1,0.0581571844830392,FALSE,FALSE
"Jeudi",5,0.7139730661777,6405,6390,0.2,-0.001,1,0.737254796596537,FALSE,FALSE
"Jeudi",6,0.0113001949944987,18199,17683,2.9,0.004,1,0.017039976579006,FALSE,TRUE
"Jeudi",7,0.0003696839407411,57154,54644,4.6,0.008,0.0351199743704045,0.000650369895748231,TRUE,TRUE
"Jeudi",8,9.49707445699508e-11,64994,59478,9.3,0.028,9.02222073414533e-09,3.22222169076619e-10,TRUE,TRUE
"Jeudi",9,0.000207122282749302,39415,38087,3.5,0.009,0.0196766168611837,0.000371256921909127,TRUE,TRUE
"Jeudi",10,0.0463634290556719,32296,31711,1.8,0.002,1,0.0603359693190251,FALSE,FALSE
"Jeudi",11,0.940159387783762,40639,40681,-0.1,-0.001,1,0.950161083398483,FALSE,FALSE
"Jeudi",12,0.0422908228084876,46906,47408,-1.1,0.002,1,0.0565863122085397,FALSE,FALSE
"Jeudi",13,0.0745240361287677,48694,47998,1.4,0.002,1,0.0943971124297725,FALSE,FALSE
"Jeudi",14,0.0184316590487181,39644,40045,-1,0.003,1,0.026938578609665,FALSE,TRUE
"Jeudi",15,0.481521780365946,48479,48183,0.6,0,1,0.531913594590289,FALSE,FALSE
