"annee","n_collisions","severite_moy","km_total","km_presents","km_millions","taux_par_Mkm","pct_km_absents","taux_lignes_presentes"
2016,790,0.989,24963790.1419999,24934045.1839999,24.96,31.65,0.12,31.68
2017,821,0.959,25215611.003,25178135.3739999,25.22,32.56,0.15,32.61
2018,954,0.977,25619846.0179999,25575345.9219999,25.62,37.24,0.17,37.3
2019,1006,0.98,26753388.7249999,26718917.8889999,26.75,37.6,0.13,37.65
2020,708,1.016,26563768.9699999,26544051.3019999,26.56,26.65,0.07,26.67
2021,807,1.027,28272948.3809999,28252439.6459999,28.27,28.54,0.07,28.56
2022,866,1.043,28929230.7239999,28887464.9809999,28.93,29.94,0.14,29.98
2023,944,1.047,29179163.8919999,29078471.0279999,29.18,32.35,0.35,32.46
2024,901,1.033,30257416.466,29874531.252,30.26,29.78,1.27,30.16
2025,1024,1.019,31689392.411,31108547.53,31.69,32.31,1.83,32.92
