"ligne","montees","ligne_type_act","km"
"1",6957263.79,"PRINCIPAL",811094.016000002
"10",6456452.23,"PRINCIPAL",458727.534999995
"11",8444763.34,"PRINCIPAL",785731.176000003
"12",20333218.23,"PRINCIPAL",1256476.888
"14",31534373.73,"PRINCIPAL",1938843.92599996
"15",20803400.92,"PRINCIPAL",1208550.63000001
"17",11829009.3,"PRINCIPAL",737693.939999994
"18",13495476.76,"PRINCIPAL",766025.816999998
"19",7084163.5,"PRINCIPAL",829767.200000004
"2",6744977.53,"PRINCIPAL",716351.912000004
"20",3520470.41,"PRINCIPAL",756947.821000003
"21",1727305.88,"PRINCIPAL",266136.734999999
"22",4409957.25,"PRINCIPAL",690198.699
"23",3373696.2,"PRINCIPAL",509071.920000002
"25",5270391.88,"PRINCIPAL",509688.930000003
"28",1517399.25,"PRINCIPAL",520974.060999999
"29",206521.79,"PRINCIPAL",85151.5510000004
"3",9044103.37,"PRINCIPAL",752174.824999993
"301",47721,"SECONDAIRE",306644.072
"302",62908,"SECONDAIRE",352543.039
"303",251,"SECONDAIRE",1513.023
"31",628222.43,"SECONDAIRE",170589.387
"32",860585.6,"SECONDAIRE",395355.433000001
"33",789736.02,"SECONDAIRE",287958.264000001
"34",125656.16,"SECONDAIRE",188188.155
"37",666543.59,"SECONDAIRE",252857.071
"38",815546.14,"SECONDAIRE",471178.243
"39",70176.4,"SECONDAIRE",110942.403
"40",1046236.47,"SECONDAIRE",451791.707999999
"41",864353.83,"SECONDAIRE",415125.177000001
"42",800679.06,"SECONDAIRE",392069.054
"43",1739186.29,"SECONDAIRE",521005.570999999
"44",577686.81,"SECONDAIRE",144375.482000001
"45",562072.85,"SECONDAIRE",109026.69
"46",268611.8,"SECONDAIRE",141132.309
"47",332664.93,"SECONDAIRE",168673.105
"48",419491.81,"SECONDAIRE",284184.452000001
"5",6279140.74,"PRINCIPAL",856192.072
"50",755091.65,"SECONDAIRE",313166.380000001
"51",978935.94,"SECONDAIRE",316866.26
"52",434980.39,"SECONDAIRE",379213.142999998
"53",959506.48,"SECONDAIRE",398710.081999999
"54",652576.9,"SECONDAIRE",369860.458
"55",416357.19,"SECONDAIRE",470648.721
"57",812456.19,"SECONDAIRE",355229.488999998
"58",71204.26,"SECONDAIRE",75656.8100000001
"59",129079.78,"SECONDAIRE",206228.481
"6",5870291.27,"PRINCIPAL",578231.825000003
"60",2939904.14,"GLCT",818156.321999996
"61",458538.16,"GLCT",126926.929
"64",494298.21,"GLCT",110487.037
"66",1143620.06,"GLCT",465468.206999999
"67",404758.76,"GLCT",244685.087
"68",1357780.35,"GLCT",615971.445000005
"69",22972.11,"GLCT",33707.282
"7",6185710.42,"PRINCIPAL",733024.369000006
"70",253690.56,"SECONDAIRE",236431.246000001
"71",208155.67,"SECONDAIRE",224823.888
"72",64972.32,"SECONDAIRE",114048.856
"73",122533.72,"SECONDAIRE",257208.284
"74",98737.27,"SECONDAIRE",279175.485
"75",33873.08,"SECONDAIRE",18492.857
"78",43766.82,"SECONDAIRE",62901.638
"8",5292058.97,"PRINCIPAL",630113.786000006
"80",4756689.13,"GLCT",712347.076999998
"82",940968.45,"SECONDAIRE",244517.574
"83",259078.38,"SECONDAIRE",480694.222999999
"9",7030591.71,"PRINCIPAL",827052.880000001
"91",971895.35,"SECONDAIRE",197045.327
"92",133601.12,"SECONDAIRE",63808.9429999999
"97",23811.88,"SECONDAIRE",26692.525
"A",1142329.66,"SECONDAIRE",386379.945000002
"C1",41540.67,"SCOLAIRE",5691.131
"C3",69317.43,"SCOLAIRE",12520.915
"C4",28230.01,"SCOLAIRE",2858.875
"C5",19402.79,"SCOLAIRE",4754.254
"C6",48986.9,"SCOLAIRE",3802.574
"C7",65421.07,"SCOLAIRE",10830.761
"C8",111995.29,"SCOLAIRE",9748.56
"C9",24399.53,"SCOLAIRE",7241.468
"E",2323283.46,"SECONDAIRE",621073.743000003
"E+",51178.19,"SECONDAIRE",15136.583
"G",1259943.34,"SECONDAIRE",392126.184000001
"G+",91801.92,"SECONDAIRE",31550.635
"L",306913.26,"SECONDAIRE",294340.895
