"ligne","montees","type","km","montees_par_km","exclu"
"1",64576129.51,"PRINCIPAL",8149997.178,7.923,FALSE
"10",66471555.72,"PRINCIPAL",5093610.74299996,13.05,FALSE
"11",69066458.72,"PRINCIPAL",7132607.976,9.683,FALSE
"12",239165256.84,"PRINCIPAL",13502277.6740002,17.713,FALSE
"14",282759787.86,"PRINCIPAL",18709629.6929995,15.113,FALSE
"15",195006795.3,"PRINCIPAL",9960028.85699997,19.579,FALSE
"17",61431717.97,"PRINCIPAL",4147314.88199997,14.812,FALSE
"18",154058395.32,"PRINCIPAL",8756580.06999996,17.593,FALSE
"19",71202908.82,"PRINCIPAL",8679104.88599996,8.204,FALSE
"1NAV",13230.67,"PRINCIPAL",1558.475,8.489,FALSE
"1R",1928.03,"PRINCIPAL",485.403999999996,3.972,FALSE
"2",55927494.08,"PRINCIPAL",6704805.51899999,8.341,FALSE
"20",13995432.57,"PRINCIPAL",3651924.68,3.832,FALSE
"21",34884517.76,"PRINCIPAL",5466916.52499996,6.381,FALSE
"22",38342434.97,"PRINCIPAL",6633656.92399999,5.78,FALSE
"23",31212571.29,"PRINCIPAL",5946456.92499999,5.249,FALSE
"25",49997569.62,"PRINCIPAL",5409216.51600001,9.243,FALSE
"28",11277774.14,"PRINCIPAL",4643316.083,2.429,FALSE
"29",261293.89,"PRINCIPAL",104554.366,2.499,FALSE
"3",89205752.2,"PRINCIPAL",7917964.92899993,11.266,FALSE
"301",175274,"SECONDAIRE",775558.395,0.226,FALSE
"302",125705,"SECONDAIRE",546662.216,0.23,FALSE
"303",298,"SECONDAIRE",1764.61,0.169,FALSE
"31",5682678.53,"SECONDAIRE",1774988.95,3.202,FALSE
"32",4008795.18,"SECONDAIRE",2463211.074,1.627,FALSE
"33",7124444.4,"SECONDAIRE",2775389.9,2.567,FALSE
"34",2733030.95,"SECONDAIRE",2604927.133,1.049,FALSE
"34R",41.52,"SECONDAIRE",32.114,1.293,FALSE
"35",3742663.04,"SECONDAIRE",1056794.506,3.542,FALSE
"36",935358.26,"SECONDAIRE",366701.751,2.551,FALSE
"37",3654457.56,"SECONDAIRE",1718072.291,2.127,FALSE
"38",3920811.34,"SECONDAIRE",2939788.324,1.334,FALSE
"39",294320.04,"SECONDAIRE",686921.973,0.428,FALSE
"4",2097633.69,"PRINCIPAL",456939.948999997,4.591,FALSE
"40",1612709.69,"SECONDAIRE",693156.268999999,2.327,FALSE
"41",7665957.8,"SECONDAIRE",3091302.58500001,2.48,FALSE
"41R",473.03,"SECONDAIRE",51.787,9.134,FALSE
"42",7422981.8,"SECONDAIRE",3132067.438,2.37,FALSE
"43",10246427.02,"SECONDAIRE",4022068.881,2.548,FALSE
"44",7095199.97,"SECONDAIRE",1425536.931,4.977,FALSE
"45",5338193.84,"SECONDAIRE",1061523.219,5.029,FALSE
"46",2094613.62,"SECONDAIRE",1204107.71,1.74,FALSE
"47",3943198.71,"SECONDAIRE",1508377.318,2.614,FALSE
"48",1616140.08,"SECONDAIRE",1109911.046,1.456,FALSE
"5",62071314.73,"PRINCIPAL",8731243.23599997,7.109,FALSE
"5+",627448.07,"PRINCIPAL",137210.118,4.573,FALSE
"50",4066252.73,"SECONDAIRE",1957733.725,2.077,FALSE
"51",7566444.49,"SECONDAIRE",2292202.377,3.301,FALSE
"52",2093348.1,"SECONDAIRE",1823715.638,1.148,FALSE
"53",6941421.19,"SECONDAIRE",3084774.52399999,2.25,FALSE
"54",1259097.39,"SECONDAIRE",1204462.321,1.045,FALSE
"55",1847439.44,"SECONDAIRE",1941192.167,0.952,FALSE
"56",660056.59,"SECONDAIRE",331476.958,1.991,FALSE
"57",9093826.9,"SECONDAIRE",3414175.60899999,2.664,FALSE
"58",71204.26,"SECONDAIRE",75656.8100000001,0.941,FALSE
"59",475013.81,"SECONDAIRE",937374.718,0.507,FALSE
"6",56728278.13,"PRINCIPAL",6199140.10899999,9.151,FALSE
"60",8026206.4,"GLCT",2174059.99599999,3.692,FALSE
"61",9233618.45,"REGIONAL",1657573.626,5.571,FALSE
"62",1537668,"SECONDAIRE",645830.491,2.381,FALSE
"63",156130.28,"SECONDAIRE",350549.849,0.445,FALSE
"64",2607874.76,"GLCT",817053.855000001,3.192,FALSE
"66",6376573.18,"GLCT",3159568.503,2.018,FALSE
"67",979146.61,"GLCT",626195.502000001,1.564,FALSE
"68",7683287.64,"GLCT",3430848.10700002,2.239,FALSE
"69",61445.9,"GLCT",86603.8169999999,0.71,FALSE
"7",43785335.11,"PRINCIPAL",5909550.29000005,7.409,FALSE
"70",1485433.9,"SECONDAIRE",1416997.689,1.048,FALSE
"71",556947.87,"SECONDAIRE",719527.377,0.774,FALSE
"72",371781.64,"SECONDAIRE",594744.884,0.625,FALSE
"73",672963.89,"SECONDAIRE",1286913.58,0.523,FALSE
"74",452945.5,"SECONDAIRE",1555792.434,0.291,FALSE
"75",295973.96,"SECONDAIRE",115803.323,2.556,FALSE
"76",36951.93,"SECONDAIRE",437772.084,0.084,FALSE
"77",23877.42,"SECONDAIRE",195949.742,0.122,FALSE
"78",209807.95,"SECONDAIRE",387119.731,0.542,FALSE
"8",76537353.35,"PRINCIPAL",9416470.18800002,8.128,FALSE
"80",12271936.58,"SCOLAIRE",1859124.846,6.601,FALSE
"81",436578.01,"SCOLAIRE",28966.366,15.072,FALSE
"82",2433980.3,"SCOLAIRE",640419.326,3.801,FALSE
"83",490068.91,"SECONDAIRE",941621.702999998,0.52,FALSE
"84",16136.65,"SCOLAIRE",1467.643,10.995,FALSE
"85",243697.99,"SCOLAIRE",39437.009,6.179,FALSE
"86",119106.11,"SCOLAIRE",59491.607,2.002,FALSE
"87",168316.81,"SCOLAIRE",19534.201,8.617,FALSE
"88",32920.13,"SCOLAIRE",4812.885,6.84,FALSE
"8R",7542.59,"PRINCIPAL",308.13,24.479,FALSE
"9",67429883.3,"PRINCIPAL",8126131.03800002,8.298,FALSE
"91",2129976.75,"SECONDAIRE",460386.158999999,4.627,FALSE
"92",332852.26,"SCOLAIRE",154524.368,2.154,FALSE
"93",877492.81,"SCOLAIRE",52065.074,16.854,FALSE
"94",403978.23,"SCOLAIRE",17015.126,23.742,FALSE
"96",267757.23,"SCOLAIRE",62914.02,4.256,FALSE
"97",181964.67,"SCOLAIRE",35481.337,5.128,FALSE
"A",9791342.37,"SECONDAIRE",3734487.604,2.622,FALSE
"B",523513.33,"REGIONAL",547617.056,0.956,FALSE
"C",3432095.65,"REGIONAL",1441239.59899999,2.381,FALSE
"C+",34628.88,"REGIONAL",24160.625,1.433,FALSE
"C1",254631.76,"SCOLAIRE",26524.967,9.6,TRUE
"C3",276326.2,"SCOLAIRE",57050.993,4.843,TRUE
"C4",181869.43,"SCOLAIRE",13311.454,13.663,TRUE
"C5",66985.38,"SCOLAIRE",15868.658,4.221,TRUE
"C6",125222.9,"SCOLAIRE",10884.63,11.505,TRUE
"C7",162435.22,"SCOLAIRE",28736.572,5.653,TRUE
"C8",635489.66,"SCOLAIRE",44578.24,14.256,TRUE
"C9",58245.95,"SCOLAIRE",18232.876,3.195,TRUE
"D",30251379.48,"GLCT",5205435.16900003,5.811,FALSE
"DN",256231.82,"GLCT",197859.407,1.295,FALSE
"E",22543605.28,"SECONDAIRE",6203885.64700003,3.634,FALSE
"E+",270357.85,"SECONDAIRE",96223.456,2.81,FALSE
"ENAV",1246.07,"SECONDAIRE",1092.692,1.14,FALSE
"F",19933126.43,"GLCT",6001729.34099993,3.321,FALSE
"G",12857127.57,"SECONDAIRE",4014623.93,3.203,FALSE
