"arret_code","arret_nom","n_collisions","montees","collisions_par_Mmontees"
"31DC00","31 Décembre",56,3691224.71,15.2
"31DC01","31 Décembre",25,3816009.85,6.6
"AAIN00","Avenue de l'Ain",6,2381973.49,2.5
"AAIN01","Avenue de l'Ain",3,1323324.19,2.3
"ACAC00","Acacias",14,2440074.7,5.7
"ACAC01","Acacias",10,8252158.34,1.2
"AERO00","Genève-Aéroport-Terminal",19,7071993.69,2.7
"AERO01","Genève-Aéroport-Terminal",5,5006224.73,1
"AERO02","Genève-Aéroport-Terminal",4,2655910.5,1.5
"AERO05","Genève-Aéroport-Terminal",1,2295631.18,0.4
"AERO06","Genève-Aéroport-Terminal",8,1039008.78,7.7
"AGAZ00","Usine à Gaz",4,1561738.7,2.6
"AGAZ01","Usine à Gaz",4,1059099.41,3.8
"AJUR00","Ferney, centre",7,1272372.19,5.5
"AJUR01","Ferney, centre",6,2793452.09,2.1
"ALPE00","Alpes",27,1196634.51,22.6
"AMDO00","Amandolier",10,2523634.84,4
"AMDO01","Amandolier",15,4282317.87,3.5
"AMDO03","Amandolier",10,2247567.47,4.4
"ANCI00","Ancienne",19,3318379.75,5.7
"ANCI01","Ancienne",36,1069460.47,33.7
"APIA00","Appia",11,1658208.6,6.6
"ARME00","Armes",19,9088586.03,2.1
"ARME01","Armes",8,2419343.28,3.3
"ARME02","Armes",25,2728561.28,9.2
"ATHE01","Athénée",2,1373392.7,1.5
"AUBI00","Merle-d'Aubigné",21,3580653.68,5.9
"AUGS00","Augustins",19,13623308.23,1.4
"AUGS01","Augustins",11,6679926.69,1.6
"AVAN00","Vernier, Avanchets-Etang",3,2144033.62,1.4
"AVIA01","Aviateurs",3,1471675.67,2
"BAIR00","Bel-Air",38,23522870.23,1.6
"BAIR01","Bel-Air",10,29057889.36,0.3
"BAIR02","Bel-Air",28,17581536.45,1.6
"BAIR04","Bel-Air",24,12298331.76,2
"BAIR05","Bel-Air",15,34399159.65,0.4
"BAIR06","Bel-Air",11,12197735.74,0.9
"BAIR07","Bel-Air",16,2978776.3,5.4
"BALX00","Balexert",2,7162595.99,0.3
"BALX01","Balexert",4,15057976.57,0.3
"BANS00","Bains",13,1611942.84,8.1
"BARD00","Barde",6,1264158.09,4.7
"BCRE01","Baulacre",3,1046205.81,2.9
"BHET00","Lancy-Bachet-Gare",5,2615786.94,1.9
"BHET01","Lancy-Bachet-Gare",1,1420514.73,0.7
"BHET03","Lancy-Bachet-Gare",6,1538964.09,3.9
"BHET04","Lancy-Bachet-Gare",15,2244526.11,6.7
"BHET05","Lancy-Bachet-Gare",11,4556768.21,2.4
"BHET08","Lancy-Bachet-Gare",2,4409995.4,0.5
"BLAN00","Blanche",15,7119118.77,2.1
"BLAN01","Blanche",13,2642782.51,4.9
"BLDO00","Blandonnet",10,5180949.49,1.9
"BLDO01","Blandonnet",9,4234916.73,2.1
"BLDO02","Blandonnet",3,2541848.6,1.2
"BLDO03","Blandonnet",2,9274249.51,0.2
"BLDO04","Blandonnet",8,1478179.09,5.4
"BMON01","Bout-du-Monde",8,1688008.14,4.7
"BNDL00","Bandol",5,1632228.07,3.1
"BNDL01","Bandol",8,5313143.41,1.5
"BOHT00","Bouchet",11,3128513.01,3.5
"BOHT01","Bouchet",2,6745560.44,0.3
"BOHT02","Bouchet",14,8533372.38,1.6
"BOHT03","Bouchet",3,1014785.93,3
"BOHT04","Bouchet",16,2733389.9,5.9
"BOLA01","Bois-du-Lan",4,3000233,1.3
