"arret_code","arret_nom","n_collisions"
"MTBL01","Mont-Blanc",92
"CVIN14","Gare Cornavin",89
"METR00","Métropole",79
"CPLT00","Chantepoulet",76
"PLEV01","Place des Eaux-Vives",61
"GFAQ00","Grange-Falquet",60
"31DC00","31 Décembre",59
"PLEV00","Place des Eaux-Vives",59
"PLGE00","Genève-Plage",59
"METR01","Métropole",55
"CVIN18","Gare Cornavin",53
"PLEV04","Place des Eaux-Vives",51
"FAVR00","Place Favre",50
"PTAR01","Pont-d'Arve",49
"RIVE01","Rive",48
"JPSA00","De-Sauvage",47
"MTBL00","Mont-Blanc",47
"PTAR00","Pont-d'Arve",44
"GOUL00","Goulart",43
"CVIN01","Gare Cornavin",42
"DJ00","Dépôt Jonction",41
"RIVE00","Rive",41
"RLAC01","Rue du Lac",41
"BAIR00","Bel-Air",40
"CTMI00","Contamines",40
"ETOI00","Lancy-Pont-Rouge-Gare/Etoile",40
"PTAR02","Pont-d'Arve",40
"RIVE08","Rive",40
"RLAC00","Rue du Lac",40
"CBRI00","De-Chateaubriand",39
"AERO09","Genève-Aéroport-Terminal",38
"CAMA01","Carouge-Marché",38
"MLRD00","Molard",38
"RIVE03","Rive",38
"TRSI03","Terrassière",38
"ANCI01","Ancienne",37
"CAMA02","Carouge-Marché",37
"PRRI00","Prairie",37
"FRRE01","Bois-des-Frères",36
"GFAQ01","Grange-Falquet",36
"MOTU00","Monthoux",36
"NATI20","Nations",36
"CVIN09","Gare Cornavin",35
"GSON01","Graveson",35
"LYON00","Lyon",35
"TCAR00","Carouge-Tours",35
"CMRE00","Communes-Réunies",34
"COUT01","Coutance",34
"GCAN00","Grange-Canal",34
"TRSI02","Terrassière",33
"FAVR01","Place Favre",32
"NATI10","Nations",32
"PRRI01","Prairie",32
"RIVE96","Rive",32
"SCLO00","Sainte-Clotilde",32
"TCAR02","Carouge-Tours",32
"TRSI01","Terrassière",32
"VILL00","Villereuse",32
"GPRE00","Grand-Pré",31
"VOLL00","Vollandes",31
"BAIR02","Bel-Air",30
"STND01","Stand",30
"BAIR04","Bel-Air",29
"ETOI01","Lancy-Pont-Rouge-Gare/Etoile",29
"GRAN00","Grangettes",29
"GSAC06","Grand-Saconnex-Place",29
"MOLE01","Môle",29
"ALPE00","Alpes",28
"ARME02","Armes",28
"CHNE03","Chêne-Bougeries, Village",28
"ISAM01","Mercier",28
"MUSE00","Muséum",28
"CRGE00","Carouge-Rondeau",27
"GRAN01","Grangettes",27
"MOLE00","Môle",27
"ONEX02","Onex-Salle communale",27
"PARC01","Parc et plage des Eaux-Vives",27
"PLPA00","Plainpalais",27
"AERO00","Genève-Aéroport-Terminal",26
"VECR01","Vernier-Gare/Croisette",26
"VEMA00","Vernier-Marché",26
