"COMMUNE","POPULATION","n_arrets","montees_totales","surface_km2","densite_pop","arrets_par_km2","arrets_par_1000h","charge_par_hab","residu","residu_stu"
"Aire-la-Ville",1161,10,257127.63,2.519,460.953,3.97,8.613,221.471,-0.028,-0.12
"Anières",2657,27,1068091.11,3.864,687.567,6.987,10.162,401.991,0.321,1.37
"Avully",1765,15,360287.27,4.345,406.226,3.452,8.499,204.129,-0.119,-0.5
"Avusy",1428,18,338996.88,5.172,276.1,3.48,12.605,237.393,0.08,0.34
"Bardonnex",2534,17,1057071.01,4.997,507.105,3.402,6.709,417.155,-0.251,-1.06
"Bellevue",4089,31,1261710.31,4.364,936.927,7.103,7.581,308.562,0.177,0.74
"Bernex",11208,70,8493774.03,12.581,890.849,5.564,6.246,757.831,-0.073,-0.32
"Carouge",23050,52,30622537.44,2.617,8809.468,19.874,2.256,1328.527,0.08,0.35
"Cartigny",1047,12,246144.17,4.308,243.019,2.785,11.461,235.095,-0.072,-0.31
"Chancy",1644,14,496926.26,5.185,317.085,2.7,8.516,302.267,-0.244,-1.04
"Choulex",1245,20,408684.09,3.909,318.503,5.117,16.064,328.26,0.401,1.75
"Chêne-Bougeries",14906,47,11335627.06,4.067,3665.471,11.558,3.153,760.474,-0.029,-0.12
"Chêne-Bourg",9770,26,9053096.02,1.281,7628.19,20.3,2.661,926.622,0.195,0.9
"Collex-Bossy",1710,21,438730.27,6.887,248.305,3.049,12.281,256.567,-0.006,-0.03
"Collonge-Bellerive",8672,43,4550473.76,6.121,1416.737,7.025,4.958,524.732,-0.055,-0.23
"Cologny",6149,35,2633589,3.672,1674.746,9.533,5.692,428.295,0.18,0.76
"Confignon",4570,16,2621899.03,2.772,1648.623,5.772,3.501,573.72,-0.305,-1.31
"Corsier",2278,10,680810.21,2.74,831.526,3.65,4.39,298.863,-0.415,-1.82
"Dardagny",1863,28,477961.66,8.526,218.502,3.284,15.03,256.555,0.127,0.54
"Genthod",2858,21,580993.96,2.87,995.828,7.317,7.348,203.287,0.188,0.79
"Genève",210601,392,440918951.83,15.373,13699.268,25.499,1.861,2093.622,0.052,0.25
"Grand-Saconnex",12481,62,13340107.34,4.382,2848.216,14.149,4.968,1068.833,0.3,1.29
"Gy",582,6,223340.1,3.286,177.099,1.826,10.309,383.746,-0.325,-1.43
"Hermance",1236,8,740231.66,1.435,861.24,5.574,6.472,598.893,0.01,0.04
"Jussy",1256,33,616649.43,11.35,110.658,2.907,26.274,490.963,0.343,1.56
"Laconnex",713,8,97552.97,3.831,186.104,2.088,11.22,136.82,-0.221,-0.95
"Lancy",37669,85,56797708.92,4.735,7955.535,17.952,2.256,1507.81,0.012,0.05
"Meinier",2111,25,463492.53,6.953,303.589,3.595,11.843,219.561,0.056,0.24
"Meyrin",27365,87,34643697.36,9.937,2753.749,8.755,3.179,1265.986,-0.187,-0.82
"Onex",19141,33,13372138.85,2.745,6973.163,12.022,1.724,698.612,-0.305,-1.35
"Perly-Certoux",3294,16,1261607.78,2.537,1298.588,6.308,4.857,383.002,-0.092,-0.39
"Plan-les-Ouates",12700,59,8558544.31,5.854,2169.522,10.079,4.646,673.901,0.09,0.38
"Pregny-Chambésy",4125,32,1595109.2,3.233,1276.011,9.899,7.758,386.693,0.36,1.55
"Presinge",731,16,167799.06,4.708,155.283,3.399,21.888,229.547,0.352,1.55
"Puplinge",2701,18,985086.05,2.672,1010.788,6.736,6.664,364.712,0.099,0.42
"Russin",560,7,44861.47,4.693,119.331,1.492,12.5,80.11,-0.337,-1.49
"Satigny",4867,66,1204382.16,18.517,262.835,3.564,13.561,247.459,0.092,0.42
"Soral",934,11,149184.2,2.942,317.466,3.739,11.777,159.726,0.097,0.41
"Thônex",17060,58,18738284.28,3.806,4482.415,15.239,3.4,1098.375,0.147,0.63
"Troinex",3365,13,463992.77,3.43,981.076,3.79,3.863,137.888,-0.468,-2.06
"Vandoeuvres",3129,28,560705.68,4.42,707.952,6.335,8.949,179.196,0.205,0.86
"Vernier",38823,91,47130958.02,7.335,5292.585,12.406,2.344,1213.996,-0.162,-0.71
"Versoix",14035,47,3030198.48,10.504,1336.107,4.474,3.349,215.903,-0.492,-2.24
"Veyrier",12269,69,4698711.65,6.335,1936.578,10.891,5.624,382.974,0.224,0.95
