"NOM_SECTEU","POPULATION","n_arrets","montees_totales","surface_km2","densite_pop","arrets_par_1000h","charge_par_hab"
"Bouchet - Moillebeau",18217,31,14835113.6,1.609,11323.813,1.702,814.355
"Bâtie - Acacias",4920,14,10234692.08,1.285,3828.556,2.846,2080.222
"Champel - Roseraie",19821,39,14791752.06,1.697,11677.48,1.968,746.267
"Charmilles - Châtelaine",24389,17,27548627.52,1.145,21300.029,0.697,1129.551
"Cité-Centre",7106,73,112740524.46,1.009,7041.708,10.273,15865.54
"Délices - Grottes",13742,13,22894669.35,0.681,20185.905,0.946,1666.036
"Eaux-Vives - Lac",22966,29,32962684.53,1.39,16521.939,1.263,1435.282
"Florissant - Malagnou",16696,23,10349956.12,1.175,14203.517,1.378,619.906
"Grand-Pré - Vermont",10790,18,14296003.15,0.616,17505.654,1.668,1324.931
"Jonction - Plainpalais",17111,28,36268552.83,0.847,20206.983,1.636,2119.605
"La Cluse - Philosophes",17123,21,16476495.2,0.437,39178.216,1.226,962.243
"Onu - Rigot",3404,25,6484414.28,1.071,3177.198,7.344,1904.94
"Pâquis - Navigation",11443,11,10355359.6,0.409,28010.348,0.961,904.951
"St-Gervais - Chantepoulet",4931,25,93701019.37,0.394,12526.149,5.07,19002.438
"St-Jean - Aïre",10500,15,8579090.4,0.861,12195.613,1.429,817.056
"Sécheron - Prieuré",7442,10,8399997.28,0.739,10074.774,1.344,1128.728
