"mois","km","montees","ratio","rang_mois"
2023-02-01,2290323.369,16637070.68,7.264,1
2023-03-01,2613520.077,20323554.66,7.776,2
2023-04-01,2257634.678,16156798.84,7.157,3
2023-05-01,2497816.156,19147564.61,7.666,4
2023-06-01,2484187.612,19406813.38,7.812,5
2023-07-01,2293746.495,15081402.68,6.575,6
2023-08-01,2399384.772,16076212.59,6.7,7
2023-09-01,2419995.773,18384747.87,7.597,8
2023-10-01,2491206.62799999,19224858.52,7.717,9
2023-11-01,2467354.36399999,20379661.21,8.26,10
2023-12-01,2444576.2,18507210.62,7.571,11
2024-01-01,2551917.42299999,18174003.63,7.122,12
2024-02-01,2429357.145,18112859.45,7.456,13
2024-03-01,2544463.192,19537203.47,7.678,14
2024-04-01,2432779.98,17803944.88,7.318,15
2024-05-01,2552680.6,19666274.07,7.704,16
2024-06-01,2486928.979,19011883.32,7.645,17
2024-07-01,2417265.582,15972895.42,6.608,18
2024-08-01,2498266.498,16635468.32,6.659,19
2024-09-01,2526786.491,18564209.9,7.347,20
2024-10-01,2656041.818,20134883.37,7.581,21
2024-11-01,2587918.794,20187506.87,7.801,22
2024-12-01,2573009.964,18189700.14,7.069,23
2025-01-01,2723416.418,18988895.04,6.972,24
2025-02-01,2435181.671,17902106.98,7.351,25
2025-03-01,2711667.649,20560833.05,7.582,26
2025-04-01,2509149.866,18330119.73,7.305,27
2025-05-01,2681522.51,20435204.98,7.621,28
2025-06-01,2584259.627,19447645.49,7.525,29
2025-07-01,2540320.558,16482704.72,6.488,30
2025-08-01,2600022.488,17077713.76,6.568,31
2025-09-01,2707659.467,19856843.81,7.334,32
2025-10-01,2785024.023,20581150.4,7.39,33
2025-11-01,2659986.682,20308133.45,7.635,34
2025-12-01,2751181.452,18681305.78,6.79,35
2026-01-01,2833003.48,19480789.85,6.876,36
2026-02-01,2561992.346,18265656.01,7.129,37
2026-03-01,2878441.697,21200578.9,7.365,38
2026-04-01,2638722.59,18399025.39,6.973,39
2026-05-01,2758230.1,19991950.76,7.248,40
2026-06-01,2692016.848,19291802.67,7.166,41
