"ligne","montees","km","ratio","mode","ligne_type_act"
"1",22033527.19,8149997.178,2.704,"Autobus","PRINCIPAL"
"10",22502480.76,5093610.74299996,4.418,"Trolleybus","PRINCIPAL"
"11",28082852.97,7132607.976,3.937,"Autobus","PRINCIPAL"
"12",72246911.17,13502277.6740002,5.351,"Tram","PRINCIPAL"
"14",103010178.16,18709629.6929995,5.506,"Tram","PRINCIPAL"
"15",68700197.37,9960028.85699997,6.898,"Tram","PRINCIPAL"
"17",37121573.55,4147314.88199997,8.951,"Tram","PRINCIPAL"
"18",56313051.57,8756580.06999996,6.431,"Tram","PRINCIPAL"
"19",24293583.98,8679104.88599996,2.799,"Trolleybus","PRINCIPAL"
"2",20696901.68,6704805.51899999,3.087,"Trolleybus","PRINCIPAL"
"20",9839255.34,3651924.68,2.694,"Autobus","PRINCIPAL"
"21",5729314.98,5466916.52499996,1.048,"Autobus","PRINCIPAL"
"22",14273878.76,6633656.92399999,2.152,"Autobus","PRINCIPAL"
"23",11377916.64,5946456.92499999,1.913,"Autobus","PRINCIPAL"
"25",17486964.89,5409216.51600001,3.233,"Autobus","PRINCIPAL"
"28",4686735.36,4643316.083,1.009,"Autobus","PRINCIPAL"
"29",261293.89,104554.366,2.499,"Autobus","PRINCIPAL"
"3",28765908.2,7917964.92899993,3.633,"Trolleybus","PRINCIPAL"
"301",128193,775558.395,0.165,"Autobus","SECONDAIRE"
"302",102680,546662.216,0.188,"Autobus","SECONDAIRE"
"303",307,1764.61,0.174,"Autobus","SECONDAIRE"
"31",1937388.39,1774988.95,1.091,"Autobus","SECONDAIRE"
"32",2596162.62,2463211.074,1.054,"Autobus","SECONDAIRE"
"33",2532171.67,2775389.9,0.912,"Autobus","SECONDAIRE"
"34",407720.58,2604927.133,0.157,"Autobus","SECONDAIRE"
"35",493558.82,1056794.506,0.467,"Autobus","SECONDAIRE"
"36",86923.89,366701.751,0.237,"Autobus","SECONDAIRE"
"37",2099355.79,1718072.291,1.222,"Autobus","SECONDAIRE"
"38",2453351.14,2939788.324,0.835,"Autobus","SECONDAIRE"
"39",192154.4,686921.973,0.28,"Autobus","SECONDAIRE"
"40",1612709.69,693156.268999999,2.327,"Autobus","SECONDAIRE"
"41",2941035.34,3091302.58500001,0.951,"Autobus","SECONDAIRE"
"42",1907500.07,3132067.438,0.609,"Autobus","SECONDAIRE"
"43",4814451.71,4022068.881,1.197,"Autobus","SECONDAIRE"
"44",2044183.47,1425536.931,1.434,"Autobus","SECONDAIRE"
"45",1843799.96,1061523.219,1.737,"Autobus","SECONDAIRE"
"46",880364.78,1204107.71,0.731,"Autobus","SECONDAIRE"
"47",930639.99,1508377.318,0.617,"Autobus","SECONDAIRE"
"48",1108671.51,1109911.046,0.999,"Autobus","SECONDAIRE"
"5",21801288.16,8731243.23599997,2.497,"Autobus","PRINCIPAL"
"50",2712820.62,1957733.725,1.386,"Autobus","SECONDAIRE"
"51",3034246.82,2292202.377,1.324,"Autobus","SECONDAIRE"
"52",1250865.24,1823715.638,0.686,"Autobus","SECONDAIRE"
"53",3308716.71,3084774.52399999,1.073,"Autobus","SECONDAIRE"
"54",889520.01,1204462.321,0.739,"Autobus","SECONDAIRE"
"55",1172001.29,1941192.167,0.604,"Autobus","SECONDAIRE"
"56",199159.7,331476.958,0.601,"Autobus","SECONDAIRE"
"57",3119481.61,3414175.60899999,0.914,"Autobus","SECONDAIRE"
