"mois","jour","nuit","nuit_semaine","weekends","nuit_par_weekend","annee","mn"
2019-01-01,18254268.81,35713.47,1414.83,4,8928.3675,2019,1
2019-02-01,17028096.04,39102.47,1377.39,4,9775.6175,2019,2
2019-03-01,19764995.54,47418.96,1309.58,5,9483.792,2019,3
2019-04-01,17488649.61,38127.27,2278.78,4,9531.8175,2019,4
2019-05-01,19685454.91,43808.12,1883.36,4,10952.03,2019,5
2019-06-01,18082166.3,53808.34,2984.26,5,10761.668,2019,6
2019-07-01,16040155.12,39274.25,3720.24,4,9818.5625,2019,7
2019-08-01,15513050.08,58344.63,2856.62,5,11668.926,2019,8
2019-09-01,18144094.47,39230.49,1878.82,4,9807.6225,2019,9
2019-10-01,19829540.63,42388.46,2174.3,4,10597.115,2019,10
2019-11-01,20241646.92,54232.53,1335.08,5,10846.506,2019,11
2019-12-01,18134455.96,40604.72,16872.43,4,10151.18,2019,12
2020-01-01,18745190.3,42273.02,1800.57,4,10568.255,2020,1
2020-02-01,17915311.33,47707.44,1824.69,5,9541.488,2020,2
2020-03-01,10556954.55,16491.53,1014.5,4,4122.8825,2020,3
2020-04-01,3408344.03,420.21,709.57,4,105.0525,2020,4
2020-05-01,7690009.08,1461.25,1401.98,5,292.25,2020,5
2020-06-01,11964168.97,2471.75,2093.97,4,617.9375,2020,6
2020-07-01,11829091.82,5409.19,2561.01,4,1352.2975,2020,7
2020-08-01,11570857.6,29404.05,2158.85,5,5880.81,2020,8
2020-09-01,14349513.87,28844.26,1572.76,4,7211.065,2020,9
2020-10-01,14454850.32,31309.7,1324.93,5,6261.94,2020,10
2020-11-01,10590144,1169.28,565.27,4,292.32,2020,11
2020-12-01,12169801.69,948.03,1166.99,4,237.0075,2020,12
2021-01-01,10915923.17,911.3,596.09,5,182.26,2021,1
2021-02-01,10404272.82,960.53,532.43,4,240.1325,2021,2
2021-03-01,13662561.58,990.39,612.74,4,247.5975,2021,3
2021-04-01,12180658.33,1344.11,918.06,4,336.0275,2021,4
2021-05-01,13345582.25,1634.54,1067.26,5,326.908,2021,5
2021-06-01,14079961.31,2572.27,2187.38,4,643.0675,2021,6
2021-07-01,12017811.31,31077.93,3192.06,5,6215.586,2021,7
2021-08-01,11787966.92,28097.23,4463.14,4,7024.3075,2021,8
2021-09-01,14824725.34,31862.36,2786.92,4,7965.59,2021,9
2021-10-01,15416077.13,39024.37,1882.63,5,7804.874,2021,10
2021-11-01,16353593.92,31973.61,1978.27,4,7993.4025,2021,11
2021-12-01,14909973.85,35460.43,2682.48,4,8865.1075,2021,12
2022-01-01,13143631.74,25250.34,1999.77,5,5050.068,2022,1
2022-02-01,13865760.39,33611.22,2618.82,4,8402.805,2022,2
2022-03-01,17431937.93,36855.84,2486.8,4,9213.96,2022,3
2022-04-01,15168811.05,45077.8,3193.25,5,9015.56,2022,4
