"ligne","a2019","a2025","pct"
"21",5174762.52,1704658.6,-67.1
"8",9231936.61,5412099.28,-41.4
"12",27241645.54,21018435.15,-22.8
"18",17527245.3,14243221.72,-18.7
"10",7037482.4,6512346.82,-7.5
"3",9619538.94,8902182.48,-7.5
"5",6879038.22,6375036.69,-7.3
"25",5407572.68,5283800.24,-2.3
"1",7048035.61,6892915.82,-2.2
"19",7215595.38,7093375.36,-1.7
"15",20793570.72,20992671.94,1
"9",7081490.07,7162498.39,1.1
"6",5626783.52,5803698.95,3.1
"14",28811108.03,31429136.66,9.1
"22",3869925.81,4249988.06,9.8
"23",3153433.95,3518655.85,11.6
"2",5589528.3,6285084.42,12.4
"28",1216685.05,1396529.3,14.8
"7",4247762.79,5296553.26,24.7
"11",6255481.6,8504235.99,35.9
"20",1221653.37,3559197.45,191.3
"17",384525.85,11560513.59,2906.4
