"ligne","NORMAL","VACANCES","ratio"
"6",18701.74,15677.01,0.838
"10",21468.72,17335.54,0.807
"14",99716.91,78893.41,0.791
"12",69525.92,54917.51,0.79
"23",11393.16,8973.71,0.788
"15",68207.83,53468.95,0.784
"17",37271.08,29183.08,0.783
"8",19566.68,14854.07,0.759
"18",57305.05,43116.92,0.752
"25",17660.59,13196.7,0.747
"2",20532.34,15251.68,0.743
"7",15444.62,11454.83,0.742
"19",24420.25,18072.97,0.74
"3",28725.03,21256.27,0.74
"28",4703.23,3452.14,0.734
"9",23625.83,17241.81,0.73
"5",21751.24,15845.37,0.728
"1",22578.5,16295.33,0.722
"11",29415.87,21229.66,0.722
"20",11804.61,7724.52,0.654
"21",6330.94,3863.65,0.61
"22",15920.34,9261.8,0.582
