"COMMUNE","POPULATION","AGE_0_19","arrets_scolaires","arrets_actifs"
"Gy",582,137,0,6
"Onex",19141,4071,0,33
"Troinex",3365,772,0,13
"Soral",934,212,0,11
"Laconnex",713,149,0,8
"Hermance",1236,260,0,8
"Veyrier",12269,3008,18,69
"Lancy",37669,8632,10,85
"Meinier",2111,470,0,25
"Chancy",1644,444,0,14
"Bernex",11208,2416,4,70
"Confignon",4570,1010,0,16
"Genève",210601,36822,39,392
"Perly-Certoux",3294,698,10,16
"Chêne-Bourg",9770,2070,6,26
"Pregny-Chambésy",4125,969,1,32
"Corsier",2278,534,0,10
"Jussy",1256,275,20,33
"Bardonnex",2534,552,7,17
"Cartigny",1047,256,0,12
"Chêne-Bougeries",14906,3565,17,47
"Carouge",23050,4621,4,52
"Collonge-Bellerive",8672,2098,10,43
"Plan-les-Ouates",12700,2945,22,59
"Aire-la-Ville",1161,265,0,10
"Thônex",17060,3691,27,58
"Vernier",38823,8770,32,91
"Vandoeuvres",3129,765,0,28
"Céligny",839,193,0,0
"Meyrin",27365,6425,0,87
"Collex-Bossy",1710,414,0,21
"Choulex",1245,279,1,20
"Russin",560,111,0,7
"Satigny",4867,1206,1,66
"Bellevue",4089,1050,0,31
"Anières",2657,597,0,27
"Cologny",6149,1423,19,35
"Dardagny",1863,392,0,28
"Grand-Saconnex",12481,2886,6,62
"Versoix",14035,3477,0,47
"Puplinge",2701,671,11,18
"Avully",1765,414,0,15
"Avusy",1428,284,0,18
"Presinge",731,143,10,16
"Genthod",2858,632,0,21
