"ligne","montees_journalier","montees_mensuel","ecart_pct"
"1",22033527.19,22033527.19,0
"10",22502480.76,22502480.76,0
"11",28082852.97,28082512.85,0
"12",72246911.17,72247056.93,0
"14",103010178.16,103023870.53,-0.01
"15",68700197.37,68709224.53,-0.01
"17",37121573.55,37123215.23,0
"18",56313051.57,56312722.87,0
"19",24293583.98,24293463.02,0
"2",20696901.68,20696897.18,0
"20",9839255.34,9839255.34,0
"21",5729314.98,5729314.98,0
"22",14273878.76,14273878.76,0
"23",11377916.64,11377916.64,0
"25",17486964.89,17486964.89,0
"28",4686735.36,4686735.36,0
"29",261293.89,261293.89,0
"3",28765908.2,28765908.2,0
"301",128193,171498,-25.25
"302",102680,125705,-18.32
"303",307,298,3.02
"31",1937388.39,1937454.67,0
"32",2596162.62,2596175.92,0
"33",2532171.67,2532242.67,0
"34",407720.58,407720.58,0
"35",493558.82,493558.82,0
"36",86923.89,86923.89,0
"37",2099355.79,2099355.79,0
"38",2453351.14,2453351.14,0
"39",192154.4,192154.4,0
"40",1612709.69,1612709.69,0
"41",2941035.34,2941035.34,0
"42",1907500.07,1907500.07,0
"43",4814451.71,4814451.71,0
"44",2044183.47,2044183.47,0
"45",1843799.96,1843799.96,0
"46",880364.78,880364.78,0
"47",930639.99,930639.99,0
"48",1108671.51,1108671.51,0
"5",21801288.16,21801288.16,0
"50",2712820.62,2712820.62,0
"51",3034246.82,3034246.82,0
"52",1250865.24,1250865.24,0
"53",3308716.71,3308716.71,0
"54",889520.01,889520.01,0
"55",1172001.29,1172001.29,0
"56",199159.7,199159.7,0
"57",3119481.61,3119481.61,0
"58",71204.26,71204.26,0
"59",343228.76,343228.76,0
"6",19977750.64,19977571.56,0
"60",8026206.4,8026206.4,0
"61",1085467.52,1085467.52,0
"62",552165.34,552165.34,0
"63",28192.4,28192.4,0
"64",1528800.14,1528800.14,0
"66",3632023.5,3632023.5,0
"67",979146.61,979146.61,0
"68",4163877.18,4164102.07,-0.01
"69",61445.9,61445.9,0
"7",16644245.32,16644245.32,0
"70",823242.64,823242.64,0
"71",431530.78,431530.78,0
"72",210721.78,210721.78,0
"73",389916.69,389916.69,0
"74",276900.4,276900.4,0
"75",145107.84,145107.84,0
"76",8818.99,8818.99,0
"77",6033.82,6033.82,0
"78",122281.05,122281.05,0
"8",20943797.87,20943797.87,0
"80",11920939.15,11920939.15,0
"82",2190167.91,2190167.91,0
"83",468323.23,468323.23,0
"86",2015,2015,0
"9",23618333.27,23618333.27,0
"91",2129976.75,2129976.75,0
"92",240997.33,240997.33,0
"97",23811.88,23811.88,0
"A",3657814.38,3657814.38,0
"C1",174521.59,174521.59,0
"C3",216426.74,216426.74,0
"C4",133745.57,133745.57,0
"C5",66328.96,66328.96,0
"C6",104323.05,104323.05,0
"C7",162435.22,162435.22,0
"C8",452134.15,452134.15,0
"C9",58245.95,58245.95,0
"D",4071770.95,4071770.95,0
"E",7874255.09,7874255.09,0
"E+",177271.44,177271.44,0
"F",2871253.88,2871253.88,0
"G",4235683.16,4235683.16,0
"G+",336864.59,336864.59,0
"J",1450328.35,1450148.3,0.01
"K",1922960.33,1922832.97,0.01
"L",1042496.33,1042496.33,0
"M",242297.37,242297.37,0
"N",201943.56,201943.56,0
"NA",4864.17,4864.17,0
"NC",7239.11,7239.11,0
"ND",2289.91,2289.91,0
"NE",7996.98,7996.98,0
"NJ",7384.09,7384.09,0
"NK",5132.8,5132.8,0
"NM",4201.3,4201.3,0
"NO",1983.66,1983.66,0
"NP",3137.57,3137.57,0
"NS",4129.3,4129.3,0
"NT",2347.9,2347.9,0
"NV",5700.55,5700.55,0
"T",19060.48,19060.48,0
