"mois","montees_journalier","montees_mensuel","ecart_pct"
"2023-02",16637070.68,16637070.68,0
"2023-03",20323554.66,20323554.66,0
"2023-04",16156798.84,16156798.84,0
"2023-05",19147564.61,19147564.61,0
"2023-06",19406813.38,19406813.38,0
"2023-07",15081402.68,15081402.68,0
"2023-08",16076212.59,16076212.59,0
"2023-09",18384747.87,18384747.87,0
"2023-10",19224858.52,19224858.52,0
"2023-11",20379661.21,20379661.21,0
"2023-12",18507210.62,18507210.62,0
"2024-01",18174003.63,18174003.63,0
"2024-02",18112859.45,18112859.45,0
"2024-03",19537203.47,19537203.47,0
"2024-04",17803944.88,17803944.88,0
"2024-05",19666274.07,19666274.07,0
"2024-06",19011883.32,19011883.32,0
"2024-07",15972895.42,15972895.42,0
"2024-08",16635468.32,16634666.83,0.005
"2024-09",18564209.9,18564209.9,0
"2024-10",20134883.37,20134883.37,0
"2024-11",20187506.87,20187506.87,0
"2024-12",18189700.14,18189700.14,0
"2025-01",18988895.04,18975665.04,0.07
"2025-02",17902106.98,17981666.98,-0.442
"2025-03",20560833.05,20560833.05,0
"2025-04",18330119.73,18330119.73,0
"2025-05",20435204.98,20435204.98,0
"2025-06",19447645.49,19472048.65,-0.125
"2025-07",16482704.72,16482704.72,0
"2025-08",17077713.76,17077713.76,0
"2025-09",19856843.81,19856843.81,0
"2025-10",20581150.4,20581150.4,0
"2025-11",20308133.45,20308133.45,0
"2025-12",18681305.78,18681305.78,0
"2026-01",19480789.85,19480789.85,0
"2026-02",18265656.01,18265656.01,0
"2026-03",21200578.9,21200578.9,0
"2026-04",18399025.39,18399016.39,0
"2026-05",19991950.76,19991950.76,0
"2026-06",19291802.67,19291802.67,0
