"snapshot_id","date_coupure","test_id","script","methode","n","statistique","p_value","effet_nom","effet","ic_inf","ic_sup","note"
"2026-09-18",20634,"T-003","04_heatmap_horaire.R","Wilcoxon signed-rank apparié unilatéral (h17 > h8, NORMAL)",1443,1041750,NA,"Hodges-Lehmann",13748,13598,NA,"r = 0.866 (Grand (>= 0.5)). p-value exclue (autocorrélation). % jours soir > matin : 99.9%. Réseau global uniquement (S-13)."
"2026-09-18",20634,"T-001","05_profil_journalier.R","Kruskal-Wallis sur montées quotidiennes par jour de semaine (NORMAL)",1443,64.96,NA,"eta2",0.0119,NA,NA,"Post-hoc Dunn/Bonferroni : 5/10 paires significatives. p-value exclue (autocorrélation, S-10)."
"2026-09-18",20634,"T-005","05_profil_journalier.R","Wilcoxon apparié intra-semaine, mercredi vs autres jours, par heure",5643,NA,NA,"heures significatives (Bonferroni)",17,NA,NA,"Sur 19 heures testées. Version globale (non appariée) : 8 heures. Détail dans 05_T005_intrasemaine.csv."
"2026-09-18",20634,"T-005b","05_profil_journalier.R","Kruskal-Wallis par jour et par heure, chaque jour vs les quatre autres",95,NA,NA,"tests significatifs (Bonferroni)",54,NA,NA,"70 significatifs en BH. Non appariée : limite de période documentée (S-15)."
"2026-09-18",20634,"T-002","07_impact_covid.R","Mann-Whitney unilatéral, montées quotidiennes NORMAL contre VACANCES",1901,575623,NA,"Hodges-Lehmann (montées/jour)",188160,180029,NA,"Baisse médiane -28 %. r = 0.549. p-value exclue (S-10)."
"2026-09-18",20634,"T-004b","07_impact_covid.R","Bai-Perron sur série désaisonnalisée, nombre de ruptures choisi par BIC",126,NA,NA,"nombre de ruptures",3,NA,NA,"Dates (dernier mois de chaque segment) : 2020-02, 2021-08, 2023-02. Gain BIC 149.8 points. Méthode d'avril (résidus STL) circulaire, voir S-02."
"2026-09-18",20634,"T-006","07_impact_covid.R","Régression log(série désaisonnalisée) ~ période, avant 2020 contre dernier segment Bai-Perron, erreur type Newey-West (retard 12)",90,2.512,0.012,"Écart du dernier segment au niveau d'avant 2020 (%)",4.21,0.91,7.63,"Réseau complet. Dernier segment depuis 2023-03. Robustesse quais constants (1172 quais) : 1.97 % [-1.17 ; 5.22]. Périmètre par lignes écarté (-3.55 %, lignes supprimées et créées exclues). Remplace Mann-Whitney et TOST (S-32)."
"2026-09-18",20634,"OBS-COLLISIONS","08_collisions.R","Taux de collisions par million de km produits, par année",8821,NA,NA,"variation du taux 2016 à 2025 (%)",2.1,NA,NA,"Nombre brut : 29.6 %. Km produits : 26.9 %. Année au nombre le plus élevé : 2025. Année au taux le plus élevé : 2019. Robustesse S-30, km des seules lignes présentes au dataset : taux 3.9 %, rang de 2025 : 3 (5 avec tous les km)."
"2026-09-18",20634,"T-007","09_tests_statistiques.R","Indice de Gini des montées par lieu d'arrêt, 12 derniers mois, IC bootstrap 2000 tirages",931,NA,NA,"Gini",0.8282,0.7914,0.8608,"Lieu d'arrêt = nom d'arrêt, tous quais confondus. Fenêtre 2025-07-01 à 2026-06-30. 10 % des lieux d'arrêt concentrent 72.2 % des montées. Période complète : Gini 0.8433, 1030 lieux, dont 99 sans montée sur 12 mois."
"2026-09-18",20634,"T-008","09_tests_statistiques.R","Corrélation de Spearman entre km produits et montées par ligne, 12 derniers mois, IC bootstrap",85,NA,NA,"Spearman rho",0.904,0.83,0.942,"Relation en partie tautologique (S-13). Publiée comme description. Pearson r = 0.871. 18 lignes à type multiple, comptées une fois."
"2026-09-18",20634,"T-009","09_tests_statistiques.R","Wilcoxon apparié mois à mois, montées par km, année de la gratuité contre année témoin",24,NA,NA,"écart de variation des montées/km contre année témoin (points)",1.84,NA,NA,"2024 vers 2025 : montées 4.61 %, km 5.33 %, montées/km -0.57 %. Témoin 2023 vers 2024 : -2.41 %. Renforcement d'offre du 15.12.2024 non séparable (S-07). Sans lignes 301 et 302 : -0.33 %. Placebo (S-34), 4 paires sans gratuité hors COVID : de -2.41 à 0.48 %, gratuité rang 3 sur 5. Composition (totaux annuels) : intra-type 0.6 % contre 0.06 % en année témoin, structure -2.22 point(s)."
"2026-09-18",20634,"AM-002","09_tests_statistiques.R","Périmètre scolaire par année et ruptures sur série complétée et désaisonnalisée",126,NA,NA,"variation des montées par arrêt desservi (%)",-4,NA,NA,"Montées -37 %, arrêts -34 %. 10 mois sans service complétés par zéro (S-06). Chow d'avril invalide : date décalée. Ruptures : 2019-05, 2021-11."
"2026-09-18",20634,"T-010","10_efficience_lignes.R","Mann-Whitney bilatéral, montées par km, lignes PRINCIPAL contre SECONDAIRE",84,1504,NA,"Hodges-Lehmann (montées/km)",6.464,5.095,7.755,"Médianes 8.25 contre 1.68, rapport 4.9. r = 0.745. Relation en partie définitionnelle (S-13), capacité ignorée (S-19)."
"2026-09-18",20634,"OBS-COLLISIONS-ARRETS","11_collisions_spatial.R","Assignation de chaque collision à l'arrêt actif le plus proche, seuil 200 m",9911,NA,NA,"corrélation de rang entre classement brut et classement rapporté aux montées",0.664,NA,NA,"97.5 % des collisions dans le seuil. Dénominateur imparfait : montées et non passages (S-20)."
"2026-09-18",20634,"T-011","11_collisions_spatial.R","Chi2 de Pearson, part de collisions avec blessé, printemps et été contre automne et hiver",9911,0.2287,0.6325,"V de Cramer",0.0048,NA,NA,"Parts : 7.87 % contre 8.15 %."
"2026-09-18",20634,"T-012","12_sitg_equite_territoriale.R","Régression log(arrets) ~ log(population) + log(surface terrestre), par commune, erreurs types HC3",44,0.923,2.94e-21,"Élasticité du nombre d'arrêts à la population",0.509,0.453,0.566,"Élasticité à la surface 0.52 [0.388 ; 0.652]. Somme 1.029 [0.908 ; 1.15]. R2 0.923. Surface terrestre (lac retiré, S-33). Population SITG au 12-2025, arrêts au 2026-09-18. Remplace le Spearman densité/couverture."
"2026-09-18",20634,"T-013a","13_offre_demande.R","Mann-Whitney bilatéral, rapport montées/km par jour, NORMAL contre VACANCES",862,128948,NA,"Hodges-Lehmann (montées/km)",1.152,1.07,1.234,"Médianes 7.83 contre 6.67. r = 0.681. p exclue (S-10)."
"2026-09-18",20634,"T-013b","13_offre_demande.R","Kruskal-Wallis, rapport montées/km par ligne selon le mode",112,20.572,3.41e-05,"médiane tram / médiane autobus",7.56,NA,NA,"Effectifs Tram = 5, Trolleybus = 6, Autobus = 101. Lignes hors dataset collisions classées autobus (S-31). Lignes régulières seules : médiane autobus 0.91, rapport tram / autobus 7.07. Capacité non prise en compte (S-19), infrastructure non mesurable (S-12)."
"2026-09-18",20634,"T-013c","13_offre_demande.R","Corrélation de Spearman entre le rang du mois et le rapport montées/km",41,NA,NA,"Spearman rho",-0.319,NA,NA,"Variation du rapport sur la période : -1.3 %. n effectif environ 24.3 (S-10)."
"2026-09-18",20634,"T-013d","13_offre_demande.R","Montées/km annuelles 2016-2025 (mensuel et km produits), décomposition intra-type et structure, périmètre constant",10,NA,NA,"variation du rapport montées/km 2016 à 2025 (%)",-13.8,NA,NA,"Montées +9 %, km +27 %. Depuis 2019 : -13.1 %. Décomposition 2016-2025 : intra -5.4, structure -6.7, types disparus -1.6. Périmètre constant (40 lignes, 93.5 à 84.8 % des montées) : -6.8 %, depuis 2019 -9.9 % (S-35)."
"2026-09-18",20634,"T-014a","14_noctambus_ligne10.R","Noctambus régional avant COVID : supF d'Andrews et Spearman sur série désaisonnalisée",50,23.36,NA,"Spearman rho (tendance)",-0.55,NA,NA,"2019 contre 2016 : -15.7 %. F max en 2018-06, p supF = 4.52e-05. n effectif 40.4. 12 lignes régionales, ligne NA comprise (S-25, F-07). Chow aux dates Bai-Perron retiré (S-08)."
"2026-09-18",20634,"T-014b","14_noctambus_ligne10.R","Montées 1h-4h des nuits du vendredi et du samedi, par week-end, janvier-novembre 2023 contre 2024, apparié par mois, contrôlé par le jour",11,NA,NA,"variation médiane nuit par week-end (%)",17.1,NA,NA,"Jour : 3.1 %. Écart nuit moins jour : 14 points (année témoin : -2.8, différence : 16.8). Placebo sur 18 heures de 6h à 23h (S-34) : de -6.2 à 2.5 points, nuit rang 1, p placebo 0.053. Nuits de semaine exclues (S-36). Année civile, toutes nuits : +109 820 montées (annonce tpg : 110 000), 16.6 % (annonce : 21,6 %). Heures 0-5 mélangées : sous-estimation (S-09)."
"2026-09-18",20634,"T-014c","14_noctambus_ligne10.R","Descriptif : rang de la ligne 10 parmi les lignes principales, 2025 contre 2019",22,NA,NA,"variation 2025 contre 2019 (%)",-7.5,NA,NA,"Rang 5 sur 22. Médiane 1.05 %."
"2026-09-18",20634,"T-014d","14_noctambus_ligne10.R","Descriptif : rapport vacances / jours normaux de la ligne 10 parmi les lignes principales",22,NA,NA,"rapport vacances / normal",0.807,NA,NA,"Rang 2 sur 22. Médiane 0.7425."
"2026-09-18",20634,"T-015a","15_sitg_scolaire_socioeco.R","Spearman, arrêts scolaires par commune et population de 0 à 19 ans, IC bootstrap 2000 tirages",45,NA,NA,"Spearman rho",0.517,0.225,0.741,"Population totale : rho = 0.523 [0.245 ; 0.739]. 24 communes sans arrêt scolaire. Population SITG 12-2025, lignes scolaires 2025-07-01 à 2026-06-30. r calculé depuis la p-value retiré (S-27)."
