"dataset","mois","n_definitif","n_non_definitif","note"
"journalier","2023-02",97707,0,""
"journalier","2023-03",111225,0,""
"journalier","2023-04",101552,0,""
"journalier","2023-05",108304,0,""
"journalier","2023-06",106598,0,""
"journalier","2023-07",102994,0,""
"journalier","2023-08",104900,0,""
"journalier","2023-09",105994,0,""
"journalier","2023-10",107243,0,""
"journalier","2023-11",105035,0,""
"journalier","2023-12",105334,0,""
"journalier","2024-01",104798,0,""
"journalier","2024-02",98310,0,""
"journalier","2024-03",104319,0,""
"journalier","2024-04",98960,0,""
"journalier","2024-05",104298,0,""
"journalier","2024-06",100599,0,""
"journalier","2024-07",99771,0,""
"journalier","2024-08",102946,0,""
"journalier","2024-09",103674,0,""
"journalier","2024-10",106946,0,""
"journalier","2024-11",104986,0,""
"journalier","2024-12",105669,0,""
"journalier","2025-01",107549,0,""
"journalier","2025-02",96549,0,""
"journalier","2025-03",107540,0,""
"journalier","2025-04",100656,0,""
"journalier","2025-05",106875,0,""
"journalier","2025-06",103747,0,""
"journalier","2025-07",102786,0,""
"journalier","2025-08",105888,0,""
"journalier","2025-09",108071,0,""
"journalier","2025-10",109900,0,""
"journalier","2025-11",106831,0,""
"journalier","2025-12",109800,0,""
"journalier","2026-01",113073,0,""
"journalier","2026-02",100926,0,""
"journalier","2026-03",113957,0,""
"journalier","2026-04",106019,0,""
"journalier","2026-05",112535,0,""
"journalier","2026-06",109576,0,""
"journalier","2026-07",61958,45423,""
"journalier","2026-08",0,111926,""
"journalier","2026-09",0,48067,""
"mensuel","2016-01",3861,0,""
"mensuel","2016-02",3845,0,""
"mensuel","2016-03",3854,0,""
"mensuel","2016-04",3846,0,""
"mensuel","2016-05",4011,0,""
"mensuel","2016-06",3919,0,""
"mensuel","2016-07",3444,0,""
"mensuel","2016-08",3963,0,""
"mensuel","2016-09",3924,0,""
"mensuel","2016-10",3834,0,""
"mensuel","2016-11",3839,0,""
"mensuel","2016-12",4308,0,""
"mensuel","2017-01",3935,0,""
"mensuel","2017-02",3937,0,""
"mensuel","2017-03",3947,0,""
"mensuel","2017-04",4066,0,""
"mensuel","2017-05",4168,0,""
"mensuel","2017-06",4535,0,""
"mensuel","2017-07",3639,0,""
"mensuel","2017-08",4070,0,""
"mensuel","2017-09",4170,0,""
"mensuel","2017-10",4125,0,""
"mensuel","2017-11",4002,0,""
"mensuel","2017-12",4263,0,""
"mensuel","2018-01",3944,0,""
"mensuel","2018-02",3979,0,""
"mensuel","2018-03",3976,0,""
"mensuel","2018-04",3987,0,""
"mensuel","2018-05",4103,0,""
"mensuel","2018-06",4029,0,""
"mensuel","2018-07",3601,0,""
"mensuel","2018-08",4037,0,""
"mensuel","2018-09",3992,0,""
"mensuel","2018-10",3991,0,""
